n_tasks,n_tokens_per_task,n_tokens_total,mutual_info,alpha,fscore
8,1000,8000,1,1,0.573
9,1000,9000,1,1,0.6132
10,1000,10000,1,1,0.6182
1,1000,1000,1,1,0.064
2,1000,2000,1,1,0.1668
3,1000,3000,1,1,0.301
4,1000,4000,1,1,0.3758
5,1000,5000,1,1,0.4019
6,1000,6000,1,1,0.4845
7,1000,7000,1,1,0.501
8,1000,8000,1,1,0.5416
9,1000,9000,1,1,0.5919
10,1000,10000,1,1,0.5791
1,5000,5000,1,1,0.4458
2,5000,10000,1,1,0.5797
3,5000,15000,1,1,0.6406
4,5000,20000,1,1,0.6643
5,5000,25000,1,1,0.6833
6,5000,30000,1,1,0.7022
7,5000,35000,1,1,0.7178
8,5000,40000,1,1,0.7237
9,5000,45000,1,1,0.7391
10,5000,50000,1,1,0.7453
1,5000,5000,1,1,0.4314
2,5000,10000,1,1,0.6039
3,5000,15000,1,1,0.6729
4,5000,20000,1,1,0.7231
5,5000,25000,1,1,0.7381
6,5000,30000,1,1,0.7353
7,5000,35000,1,1,0.7731
8,5000,40000,1,1,0.7809
9,5000,45000,1,1,0.7882
10,5000,50000,1,1,0.7839
1,5000,5000,1,1,0.4426
2,5000,10000,1,1,0.6068
3,5000,15000,1,1,0.658
4,5000,20000,1,1,0.7202
5,5000,25000,1,1,0.7462
6,5000,30000,1,1,0.7592
7,5000,35000,1,1,0.7713
8,5000,40000,1,1,0.7844
9,5000,45000,1,1,0.7978
10,5000,50000,1,1,0.804
1,5000,5000,1,1,0.4345
2,5000,10000,1,1,0.5818
3,5000,15000,1,1,0.7115
4,5000,20000,1,1,0.726
5,5000,25000,1,1,0.7257
6,5000,30000,1,1,0.7587
7,5000,35000,1,1,0.7782
8,5000,40000,1,1,0.7888
9,5000,45000,1,1,0.7975
10,5000,50000,1,1,0.807
1,1000,1000,0.75,0.96,0.074
2,1000,2000,0.75,0.96,0.1138
3,1000,3000,0.75,0.96,0.2525
4,1000,4000,0.75,0.96,0.2773
5,1000,5000,0.75,0.96,0.2681
6,1000,6000,0.75,0.96,0.3768
7,1000,7000,0.75,0.96,0.4314
8,1000,8000,0.75,0.96,0.4516
9,1000,9000,0.75,0.96,0.4707
10,1000,10000,0.75,0.96,0.4598
1,1000,1000,0.75,0.96,0.0644
2,1000,2000,0.75,0.96,0.1401
3,1000,3000,0.75,0.96,0.2195
4,1000,4000,0.75,0.96,0.2868
5,1000,5000,0.75,0.96,0.284
6,1000,6000,0.75,0.96,0.4337
7,1000,7000,0.75,0.96,0.3867
8,1000,8000,0.75,0.96,0.4705
9,1000,9000,0.75,0.96,0.5125
10,1000,10000,0.75,0.96,0.5251
1,1000,1000,0.75,0.96,0.0629
2,1000,2000,0.75,0.96,0.1515
3,1000,3000,0.75,0.96,0.2006
4,1000,4000,0.75,0.96,0.2638
5,1000,5000,0.75,0.96,0.2846
6,1000,6000,0.75,0.96,0.39
7,1000,7000,0.75,0.96,0.4539
8,1000,8000,0.75,0.96,0.3966
9,1000,9000,0.75,0.96,0.5316
10,1000,10000,0.75,0.96,0.507
1,1000,1000,0.75,0.96,0.0621
2,1000,2000,0.75,0.96,0.1375
3,1000,3000,0.75,0.96,0.2055
4,1000,4000,0.75,0.96,0.2721
5,1000,5000,0.75,0.96,0.2497
6,1000,6000,0.75,0.96,0.3731
7,1000,7000,0.75,0.96,0.4569
8,1000,8000,0.75,0.96,0.4777
9,1000,9000,0.75,0.96,0.5352
10,1000,10000,0.75,0.96,0.5296
1,5000,5000,0.75,0.96,0.4441
2,5000,10000,0.75,0.96,0.5165
3,5000,15000,0.75,0.96,0.5449
4,5000,20000,0.75,0.96,0.6004
5,5000,25000,0.75,0.96,0.6144
6,5000,30000,0.75,0.96,0.6416
7,5000,35000,0.75,0.96,0.635
8,5000,40000,0.75,0.96,0.6379
9,5000,45000,0.75,0.96,0.6611
10,5000,50000,0.75,0.96,0.6772
1,5000,5000,0.75,0.96,0.4438
2,5000,10000,0.75,0.96,0.5645
3,5000,15000,0.75,0.96,0.5895
4,5000,20000,0.75,0.96,0.6323
5,5000,25000,0.75,0.96,0.6356
6,5000,30000,0.75,0.96,0.671
7,5000,35000,0.75,0.96,0.6837
8,5000,40000,0.75,0.96,0.7139
9,5000,45000,0.75,0.96,0.7145
10,5000,50000,0.75,0.96,0.7205
1,5000,5000,0.75,0.96,0.4387
2,5000,10000,0.75,0.96,0.5288
